Names,Games,Minutes,Points,OffRebounds,Rebounds,Assists,Steals,Blocks,Fgm,Fga,Fta,Fg%,3pm,3pa,3p%,Ftm,Ft%
Shaun Livingston,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Brook Lopez,26,654,328,45,156,20,11,45,140,282,65,.496,3,15,.200,45,.692
Robin Lopez,31,743,234,78,172,29,5,73,96,200,77,.480,0,1,.000,42,.545
Kevin Love,39,1156,681,142,415,75,27,56,227,406,258,.559,29,82,.354,198,.767
Kyle Lowry,24,557,180,22,76,49,31,5,64,152,74,.421,5,22,.227,47,.635
John Lucas III,30,1006,395,22,76,120,40,0,143,330,63,.433,59,158,.373,50,.794
Scott Machado,31,836,288,25,104,150,40,2,90,222,134,.405,15,54,.278,93,.694
Shelvin Mack,32,982,382,41,142,111,36,1,122,312,107,.391,57,175,.326,81,.757
Corey Maggette,39,691,414,,151,59,29,15,137,261,155,.525,29,84,.345,111,.716
Ian Mahinmi,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Shawn Marion,29,954,543,,269,36,73,54,221,418,111,.529,20,67,.299,81,.730
Kendall Marshall,37,912,230,6,77,230,40,3,76,181,84,.420,20,52,.385,58,.690
Cartier Martin,20,377,138,12,60,21,4,0,49,124,37,.395,17,49,.347,23,.622
Kenyon Martin,22,233,62,,74,10,14,24,26,40,32,.650,0,0,,10,.313
Kevin Martin,28,913,619,27,133,43,51,10,196,405,186,.484,73,191,.382,154,.828
Roger Mason,31,660,237,,69,39,30,7,80,186,77,.430,14,49,.286,63,.818
Wesley Matthews,23,573,207,34,93,51,29,5,65,163,80,.399,14,32,.438,63,.788
Jason Maxiell,35,732,282,79,237,3,24,52,117,212,82,.552,0,0,,48,.585
Eric Maynor,29,455,135,8,38,65,22,0,49,114,41,.430,3,15,.200,34,.829
O.J. Mayo,33,1216,684,35,150,109,51,13,237,536,152,.442,88,215,.409,122,.803
Luc Mbah a Moute,39,1151,354,117,318,52,44,22,134,249,112,.538,5,38,.132,81,.723
JaVale McGee,33,330,108,31,72,3,6,30,45,75,34,.600,2,3,.667,16,.471
Dominic McGuire,26,409,111,33,88,21,11,22,46,119,38,.387,3,22,.136,16,.421
Josh McRoberts,36,883,312,61,189,53,41,46,115,190,116,.605,5,13,.385,77,.664
Jodie Meeks,34,751,295,29,96,51,32,2,95,227,68,.419,44,121,.364,61,.897
Fab Melo,33,327,77,22,64,8,10,25,34,56,25,.607,0,0,,9,.360
Khris Middleton,34,710,245,41,125,37,29,10,79,190,72,.416,33,102,.324,54,.750
C.J. Miles,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Darko Miličić,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Andre Miller,34,872,292,,126,157,38,21,104,195,113,.533,6,19,.316,78,.690
Darius Miller,36,764,191,30,111,72,27,22,66,161,51,.410,18,54,.333,41,.804
Mike Miller,28,677,341,,146,58,35,7,115,233,114,.494,31,87,.356,80,.702
Quincy Miller,37,903,393,54,182,53,25,24,138,309,114,.447,24,69,.348,93,.816
Patty Mills,32,1027,472,14,67,111,57,3,161,375,117,.429,61,189,.323,89,.761
Paul Millsap,30,1053,467,151,374,22,26,52,175,298,181,.587,1,1,1.000,116,.641
Nazr Mohammed,16,88,37,,24,3,4,8,13,29,24,.448,0,0,,11,.458
Greg Monroe,31,958,393,62,203,79,57,45,143,250,150,.572,2,6,.333,105,.700
E'Twaun Moore,34,1040,437,29,131,88,32,15,159,359,74,.443,66,152,.434,53,.716
Darius Morris,32,777,140,14,58,84,20,5,52,128,46,.406,7,39,.179,29,.630
Marcus Morris,35,646,258,66,166,38,36,12,94,190,106,.495,6,15,.400,64,.604
Markieff Morris,35,547,162,51,155,34,14,25,60,134,60,.448,3,16,.188,39,.650
Anthony Morrow,31,392,177,25,59,11,14,8,61,154,19,.396,38,104,.365,17,.895
Donatas Motiejūnas,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Arnett Moultrie,37,992,325,121,302,24,31,35,130,259,101,.502,11,39,.282,54,.535
Timofey Mozgov,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Byron Mullens,33,671,292,55,154,9,16,37,120,188,93,.638,0,1,.000,52,.559
Kevin Murphy,30,610,287,23,88,49,17,7,95,248,82,.383,38,91,.418,59,.720
Troy Murphy,27,890,519,,267,38,34,38,183,340,201,.538,4,13,.308,149,.741
Steve Nash*,31,743,252,,78,67,26,4,78,184,57,.424,49,120,.408,47,.825
Gary Neal,29,930,540,34,122,47,18,1,169,423,142,.400,86,230,.374,116,.817
Jameer Nelson,33,1114,412,22,133,213,55,2,131,284,133,.461,41,110,.373,109,.820
Andrew Nicholson,30,754,376,64,180,7,17,81,154,256,111,.602,0,1,.000,68,.613
Joakim Noah,29,273,102,24,72,15,6,19,36,60,52,.600,0,0,,30,.577
Steve Novak,33,512,220,18,71,17,7,0,67,133,33,.504,55,109,.505,31,.939
Dirk Nowitzki,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Jermaine O'Neal,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Kyle O'Quinn,31,518,164,31,104,12,10,25,62,126,37,.492,17,45,.378,23,.622
Lamar Odom,32,1116,564,,302,122,27,49,203,421,182,.482,33,100,.330,125,.687
Tim Ohlbrecht,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Emeka Okafor,34,1021,267,90,306,27,26,138,105,178,92,.590,0,0,,57,.620
Daniel Orton,38,502,129,45,126,15,21,53,48,91,63,.527,0,2,.000,33,.524
Travis Outlaw,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Zaza Pachulia,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Jannero Pargo,31,742,380,16,64,72,47,1,132,294,49,.449,73,175,.417,43,.878
Jeremy Pargo,33,565,89,13,71,67,29,3,29,104,34,.279,8,35,.229,23,.676
Tony Parker,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Chandler Parsons,36,744,293,47,143,51,18,8,103,218,83,.472,35,108,.324,52,.627
Patrick Patterson,25,893,411,71,192,43,21,31,162,282,119,.574,0,3,.000,87,.731
Chris Paul,31,1041,460,21,101,183,84,12,135,272,178,.496,40,86,.465,150,.843
Sasha Pavlović,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Nikola Peković,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Kendrick Perkins,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Johan Petro,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Paul Pierce*,34,862,404,,180,61,44,27,143,341,137,.419,35,115,.304,83,.606
Mickaël Piétrus,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Dexter Pittman,29,155,74,28,52,2,5,10,29,48,34,.604,0,0,,16,.471
Miles Plumlee,24,165,42,13,34,1,4,12,18,38,11,.474,0,0,,6,.545
Quincy Pondexter,32,764,342,49,128,49,21,6,124,249,100,.498,18,48,.375,76,.760
A.J. Price,31,742,291,34,93,113,37,2,99,256,100,.387,24,88,.273,69,.690
Ronnie Price,25,746,282,14,58,72,31,1,99,267,61,.371,37,134,.276,47,.770
Pablo Prigioni,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Tayshaun Prince,37,747,214,,142,45,25,21,82,198,32,.414,29,101,.287,21,.656
Joel Przybilla,28,713,188,,163,41,16,84,79,141,52,.560,0,0,,30,.577
Chris Quinn,34,521,131,18,53,51,28,3,43,90,20,.478,29,66,.439,16,.800
Vladimir Radmanović,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Anthony Randolph,31,1016,483,86,263,38,35,70,183,394,166,.464,2,19,.105,115,.693
Shavlik Randolph,26,351,193,41,101,9,14,24,65,129,82,.504,7,19,.368,56,.683
Zach Randolph,33,654,356,101,221,34,24,22,138,235,126,.587,0,1,.000,80,.635
J.J. Redick,33,1013,495,19,81,67,38,2,149,361,111,.413,95,238,.399,102,.919
Jason Richardson,37,582,189,,153,23,20,6,79,157,42,.503,8,27,.296,23,.548
Quentin Richardson,31,1040,586,,327,32,24,8,203,425,183,.478,44,127,.346,136,.743
Luke Ridnour,28,848,208,13,70,106,29,4,59,174,77,.339,29,99,.293,61,.792
Austin Rivers,34,1129,527,21,115,71,33,1,174,402,184,.433,58,159,.365,121,.658
Brian Roberts,29,586,267,17,77,42,14,0,90,200,56,.450,43,100,.430,44,.786
Nate Robinson,23,576,300,33,89,52,26,0,120,260,57,.462,19,74,.257,41,.719
Thomas Robinson,33,236,83,34,88,9,7,18,33,68,43,.485,0,0,,17,.395
Rajon Rondo,34,854,274,20,97,118,87,8,102,200,103,.510,10,33,.303,60,.583
Terrence Ross,34,593,273,29,96,33,19,12,102,230,33,.443,44,125,.352,25,.758
Brandon Roy,13,224,79,16,38,13,4,3,30,60,37,.500,1,10,.100,18,.486
Ricky Rubio,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Brandon Rush,33,1047,444,48,195,65,29,23,170,359,71,.474,50,106,.472,54,.761
Robert Sacre,29,269,82,18,52,7,7,6,28,63,41,.444,0,0,,26,.634
John Salmons,29,705,161,,141,57,28,23,61,127,40,.480,10,41,.244,29,.725
Samardo Samuels,37,929,436,94,181,35,22,49,163,282,165,.578,0,1,.000,110,.667
Larry Sanders,32,531,157,50,165,4,11,95,63,125,68,.504,0,0,,31,.456
Luis Scola,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Mike Scott,32,579,182,67,168,15,20,12,63,143,74,.441,4,10,.400,52,.703
Thabo Sefolosha,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Josh Selby,26,530,206,10,58,56,21,1,72,193,37,.373,34,94,.362,28,.757
Kevin Séraphin,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Ramon Sessions,32,994,288,22,120,166,47,3,106,257,101,.412,6,27,.222,70,.693
Tornike Shengelia,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Iman Shumpert,31,981,330,22,121,154,64,6,106,271,131,.391,32,102,.314,86,.656
Alexey Shved,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Henry Sims,28,275,54,16,48,8,8,16,21,52,17,.404,2,12,.167,10,.588
Kyle Singler,34,972,451,70,198,48,36,25,159,348,106,.457,51,150,.340,82,.774
Chris Singleton,35,942,282,65,172,37,54,47,95,232,95,.409,34,102,.333,58,.611
Donald Sloan,34,606,176,13,64,60,24,2,67,137,42,.489,14,42,.333,28,.667
Greg Smith,33,913,381,76,192,40,27,40,148,257,145,.576,0,0,,85,.586
Ish Smith,31,927,269,14,117,186,36,1,102,238,91,.429,23,65,.354,42,.462
J.R. Smith,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Jason Smith,26,635,274,55,152,45,11,36,103,186,95,.554,3,12,.250,65,.684
Josh Smith,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Nolan Smith,34,500,202,12,52,45,18,5,70,150,52,.467,22,57,.386,40,.769
Marreese Speights,33,189,134,38,86,2,8,15,57,85,30,.671,0,0,,20,.667
Tiago Splitter,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Jerry Stackhouse,35,734,428,,176,69,42,17,138,296,205,.466,2,20,.100,150,.732
Lance Stephenson,34,960,419,63,182,84,31,6,162,368,119,.440,16,73,.219,79,.664
DeShawn Stevenson,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Greg Stiemsma,10,27,11,1,6,0,1,2,5,6,2,.833,0,0,,1,.500
Julyan Stone,33,720,94,18,134,114,52,5,28,82,53,.341,8,34,.235,30,.566
Amar'e Stoudemire,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Rodney Stuckey,30,990,726,32,144,123,66,8,250,510,225,.490,55,148,.372,171,.760
Jared Sullinger,37,1172,635,131,377,43,37,20,222,410,267,.541,3,12,.250,188,.704
DaJuan Summers,37,975,339,58,138,40,30,24,108,262,106,.412,42,127,.331,81,.764
Jeff Taylor,31,805,377,82,192,53,29,12,136,271,139,.502,9,41,.220,96,.691
Tyshawn Taylor,35,928,340,11,76,104,38,8,120,237,105,.506,24,66,.364,76,.724
Jeff Teague,30,892,416,16,82,74,55,15,135,311,142,.434,32,81,.395,114,.803
Marquis Teague,40,1303,401,17,101,191,37,11,145,352,119,.412,26,80,.325,85,.714
Mirza Teletović,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Sebastian Telfair,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Garrett Temple,36,1207,182,18,94,99,38,31,65,194,37,.335,27,109,.248,25,.676
Jason Terry,31,303,95,,23,35,19,0,32,59,27,.542,15,26,.577,16,.593
Hasheem Thabeet,31,762,193,74,199,12,6,118,67,121,115,.554,0,0,,59,.513
Isaiah Thomas,35,993,541,24,106,91,38,2,180,431,207,.418,39,134,.291,142,.686
Kurt Thomas,12,42,23,,13,2,1,2,8,18,14,.444,0,2,.000,7,.500
Lance Thomas,31,463,124,37,76,1,17,3,46,81,54,.568,0,0,,32,.593
Malcolm Thomas,32,967,401,99,281,50,20,64,148,288,183,.514,0,0,,105,.574
Tyrus Thomas,32,829,395,90,295,42,33,99,152,250,137,.608,1,1,1.000,90,.657
Jason Thompson,30,830,274,85,221,45,21,29,104,236,91,.441,6,26,.231,60,.659
Klay Thompson,33,1092,414,27,138,62,30,20,159,378,31,.421,68,165,.412,28,.903
Tristan Thompson,36,1104,471,138,282,45,34,86,172,315,261,.546,0,0,,127,.487
Marcus Thornton,31,1043,608,63,174,42,43,10,212,486,115,.436,90,239,.377,94,.817
Jamaal Tinsley,37,1212,407,,189,244,98,37,145,384,151,.378,15,62,.242,102,.675
Anthony Tolliver,27,175,22,13,34,7,5,8,10,25,9,.400,0,6,.000,2,.222
P.J. Tucker,33,742,342,105,225,27,29,6,133,243,117,.547,0,0,,76,.650
Ronny Turiaf,32,624,235,51,161,16,12,26,73,139,128,.525,0,2,.000,89,.695
Hedo Türkoğlu,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Evan Turner,37,1004,313,33,164,98,47,19,109,232,103,.470,23,69,.333,72,.699
Jeremy Tyler,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Ekpe Udoh,35,710,176,60,139,28,23,67,76,162,41,.469,0,3,.000,24,.585
Beno Udrih,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Jonas Valančiūnas,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Anderson Varejão,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Jarvis Varnado,35,473,174,61,146,11,12,67,75,116,45,.647,0,1,.000,24,.533
Greivis Vásquez,34,980,334,26,112,157,39,5,114,257,94,.444,31,98,.316,75,.798
Jan Veselý,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Charlie Villanueva,32,607,286,56,168,23,6,48,113,220,63,.514,18,49,.367,42,.667
Nikola Vučević,23,254,59,22,61,7,9,9,26,45,8,.578,0,3,.000,7,.875
Dwyane Wade,32,935,571,81,211,110,79,36,223,458,155,.487,18,52,.346,107,.690
Dion Waiters,34,554,223,12,53,50,38,4,78,190,48,.411,28,85,.329,39,.813
Kemba Walker,36,907,321,31,125,104,38,6,110,234,123,.470,13,48,.271,88,.715
John Wall,37,1288,616,30,159,241,66,19,202,438,232,.461,37,114,.325,175,.754
Gerald Wallace,36,824,351,84,216,55,42,37,126,288,155,.438,11,63,.175,88,.568
Rasheed Wallace,35,732,333,,232,18,24,63,139,230,91,.604,0,1,.000,55,.604
